"sexo","longitud","diametro","altura","peso_entero","peso_sin_cascara","peso_visceras","peso_cascara","edad","modelo_2","modelo_3"
"M",0.72,0.6,0.235,2.2385,0.984,0.411,0.621,12,7.65,15.45
"I",0.185,0.135,0.045,0.032,0.011,0.0065,0.01,4,11.07,5.7
"I",0.245,0.175,0.055,0.0785,0.04,0.018,0.02,5,14.8,7.43
"I",0.315,0.23,0,0.134,0.0575,0.0285,0.3505,6,8.85,8.36
"I",0.36,0.27,0.09,0.2075,0.098,0.039,0.062,6,6.27,9.27
"I",0.375,0.28,0.08,0.2235,0.115,0.043,0.055,6,6.52,12.96
"I",0.415,0.31,0.095,0.34,0.181,0.057,0.083,6,12.54,8.31
"I",0.455,0.35,0.135,0.5365,0.2855,0.0855,0.1325,7,10.52,8.98
"I",0.48,0.35,0.105,0.635,0.352,0.127,0.135,6,7.79,8.86
"I",0.485,0.375,0.125,0.562,0.2505,0.1345,0.1525,8,16.09,11.09
"I",0.51,0.39,0.125,0.597,0.293,0.1265,0.1555,8,13.13,10.79
"M",0.52,0.395,0.125,0.5815,0.2565,0.1265,0.17,10,18.09,13.15
"F",0.555,0.43,0.14,0.7545,0.3525,0.1835,0.2015,9,6.87,12.84
"M",0.585,0.465,0.15,0.98,0.4315,0.2545,0.247,9,3.37,13.04
"F",0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515,11,13.6,15.53
"M",0.585,0.455,0.155,1.133,0.5515,0.223,0.305,12,13.15,14.75
"M",0.61,0.49,0.16,1.146,0.597,0.246,0.265,8,10.55,14.06
"M",0.61,0.475,0.15,1.142,0.62,0.237,0.245,9,9.29,8.75
"M",0.615,0.53,0.17,1.12,0.5775,0.2095,0.286,9,9.39,13.65
"F",0.62,0.465,0.14,1.011,0.479,0.2385,0.255,8,17.05,9.79
"M",0.625,0.505,0.175,1.131,0.5425,0.2265,0.323,8,8.43,11.86
"M",0.625,0.48,0.175,1.065,0.4865,0.259,0.285,10,9.98,10.35
"M",0.635,0.48,0.145,1.181,0.665,0.229,0.225,10,17.96,13.62
"F",0.64,0.525,0.175,1.382,0.646,0.3115,0.37,9,9.62,12.73
"M",0.66,0.505,0.19,1.4385,0.6775,0.285,0.178,11,16.83,13.29
"M",0.66,0.485,0.155,1.2275,0.61,0.274,0.3,8,2.84,12.03
"M",0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335,10,8.01,12.29
"F",0.68,0.55,0.175,1.473,0.713,0.282,0.4295,11,12.69,13.75
"F",0.69,0.58,0.195,1.658,0.708,0.3615,0.4715,10,11.45,14.74
"M",0.72,0.545,0.195,1.7475,0.8215,0.383,0.4705,11,13.1,12.85
"I",0.275,0.2,0.07,0.096,0.037,0.0225,0.03,6,10.24,10.15
"I",0.33,0.245,0.065,0.1445,0.058,0.032,0.0505,6,10.43,11.33
"I",0.33,0.26,0.085,0.1965,0.0915,0.0425,0.055,7,10,10.12
"I",0.365,0.28,0.09,0.196,0.0865,0.036,0.0605,7,9.31,5.76
"I",0.365,0.27,0.09,0.2155,0.1005,0.049,0.0655,6,11.65,8.87
"I",0.42,0.31,0.1,0.2805,0.1125,0.0615,0.0925,8,5.18,13.62
"I",0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965,7,7.04,13.59
"I",0.435,0.325,0.1,0.366,0.174,0.0725,0.109,7,10.82,9.61
"I",0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075,8,5.68,9.82
"I",0.485,0.365,0.09,0.651,0.3165,0.132,0.18,8,7.63,13.66
"I",0.495,0.385,0.125,0.5125,0.2075,0.1155,0.172,10,15.87,12.39
"M",0.51,0.405,0.125,0.6925,0.327,0.155,0.1805,7,5.63,10.25
"I",0.52,0.41,0.14,0.5995,0.242,0.1375,0.182,11,11.18,15.4
"I",0.54,0.42,0.14,0.74,0.3595,0.159,0.1985,8,14.13,17.55
"I",0.54,0.415,0.155,0.702,0.322,0.167,0.19,10,17.17,13.06
"I",0.55,0.445,0.125,0.672,0.288,0.1365,0.21,11,13.72,11.57
"I",0.56,0.44,0.155,0.811,0.3685,0.178,0.235,11,13.91,14.31
"F",0.575,0.45,0.12,0.9585,0.447,0.169,0.275,12,17.58,14.49
"I",0.575,0.45,0.15,0.858,0.449,0.166,0.215,10,11.83,9.7
"F",0.575,0.46,0.165,0.9575,0.4815,0.1945,0.236,10,20.31,12.37
"F",0.58,0.46,0.135,0.926,0.4025,0.208,0.275,8,14.58,11.05
"F",0.58,0.425,0.155,0.873,0.3615,0.249,0.239,10,15.15,12.99
"M",0.59,0.45,0.16,0.998,0.445,0.214,0.301,9,10.31,12.19
"M",0.6,0.46,0.155,0.6655,0.285,0.149,0.269,11,10.95,14.9
"M",0.62,0.485,0.145,1.003,0.4655,0.2195,0.28,11,15.38,14.02
"F",0.625,0.495,0.16,1.234,0.6335,0.192,0.35,13,24.7,14
"M",0.625,0.495,0.155,1.025,0.46,0.1945,0.34,9,13.52,13.52
"M",0.625,0.495,0.175,1.2935,0.5805,0.317,0.355,9,18.39,9.37
"M",0.625,0.5,0.175,1.0565,0.4615,0.258,0.305,10,16.36,9.61
"M",0.625,0.47,0.145,1.7855,0.675,0.247,0.3245,13,18.27,16.68
"F",0.625,0.485,0.165,1.2255,0.5075,0.296,0.36,10,13.41,11.52
"F",0.635,0.5,0.18,1.2565,0.539,0.292,0.35,10,13.88,15.9
"F",0.645,0.5,0.15,1.159,0.4675,0.3355,0.31,9,11.11,9.98
"M",0.645,0.51,0.165,1.403,0.5755,0.2515,0.4545,11,12.17,15
"F",0.69,0.535,0.185,1.826,0.797,0.409,0.499,11,18.54,15.63
"F",0.695,0.56,0.185,1.7715,0.8195,0.331,0.437,10,15.28,13.45
"M",0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8,8.18,13.31
"I",0.545,0.405,0.13,0.658,0.327,0.1445,0.174,8,15.52,8.58
"M",0.62,0.465,0.145,0.911,0.375,0.2145,0.278,10,16.97,9.52
"M",0.63,0.49,0.15,1.1955,0.5845,0.257,0.3,9,13.44,11.83
"F",0.63,0.515,0.16,1.336,0.553,0.3205,0.35,11,3.42,12.62
"F",0.64,0.49,0.18,1.36,0.653,0.347,0.305,9,11.96,12.39
"I",0.37,0.275,0.08,0.2325,0.093,0.056,0.072,6,1.36,11.5
"I",0.395,0.31,0.085,0.317,0.153,0.0505,0.0935,7,12.95,10.42
"I",0.4,0.3,0.115,0.318,0.1335,0.0725,0.0935,6,16.16,2.99
"I",0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,7,9.61,11.37
"I",0.455,0.335,0.105,0.4055,0.175,0.092,0.1185,8,10.08,12.65
"I",0.48,0.335,0.125,0.524,0.246,0.1095,0.145,7,9.92,9.65
"I",0.485,0.375,0.11,0.464,0.2015,0.09,0.149,8,9.03,10.05
"I",0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305,8,9.5,12.19
"I",0.515,0.395,0.125,0.5805,0.2365,0.1075,0.19,9,7.37,10.05
"I",0.52,0.4,0.14,0.622,0.278,0.1455,0.169,8,13.85,8.15
"M",0.545,0.45,0.15,0.7805,0.3795,0.1625,0.216,8,9.97,11.05
"I",0.545,0.43,0.14,0.772,0.289,0.19,0.2615,8,9.54,7.5
"I",0.55,0.435,0.125,0.741,0.348,0.1585,0.206,9,9.4,12.64
"M",0.55,0.43,0.18,0.8265,0.4405,0.159,0.225,10,11.64,8.11
"M",0.55,0.385,0.13,0.7275,0.343,0.1625,0.19,8,7.87,10.05
"I",0.555,0.43,0.125,0.7005,0.3395,0.1355,0.2095,8,14.04,13.12
"M",0.56,0.45,0.145,0.9355,0.425,0.1645,0.2725,11,11.4,11.73
"I",0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,9,9.72,12.73
"M",0.57,0.445,0.16,1.0145,0.516,0.164,0.3,10,16.55,14.56
"F",0.575,0.48,0.17,1.1,0.506,0.2485,0.31,10,20.05,10.32
"M",0.585,0.51,0.16,1.218,0.639,0.241,0.3,11,12.19,11.43
"M",0.59,0.45,0.155,0.874,0.369,0.2135,0.24,8,-2.44,10.63
"I",0.595,0.475,0.155,0.984,0.4865,0.184,0.2755,10,10.87,10.97
"M",0.6,0.47,0.13,1.0105,0.423,0.219,0.298,9,16.13,8.8
"M",0.61,0.365,0.155,1.0765,0.488,0.249,0.27,9,8.41,7.84
"M",0.615,0.475,0.205,1.337,0.5995,0.2815,0.37,11,17.34,13.94
"M",0.625,0.5,0.18,1.3705,0.645,0.303,0.3705,12,12.43,19.09
"F",0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855,11,16.94,16.29
"M",0.63,0.485,0.18,1.2435,0.5175,0.308,0.37,11,20.51,13.39
"M",0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555,13,15.79,16.28
"F",0.635,0.485,0.155,1.073,0.467,0.1975,0.35,11,19.33,11.99
"F",0.635,0.5,0.175,1.477,0.684,0.3005,0.39,12,13.54,14.71
"M",0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,9,7.68,12.47
"F",0.65,0.495,0.16,1.3105,0.577,0.3315,0.355,9,11.58,17.04
"M",0.67,0.525,0.18,1.4915,0.728,0.343,0.381,9,16.72,13.11
"F",0.675,0.52,0.175,1.494,0.7365,0.3055,0.37,9,15.62,10.02
"F",0.675,0.51,0.15,1.1965,0.475,0.304,0.386,11,8.8,13.79
"M",0.68,0.545,0.185,1.672,0.7075,0.364,0.48,11,15.97,11.02
"M",0.7,0.545,0.215,1.9125,0.8825,0.4385,0.506,10,5.09,12.58
"F",0.71,0.545,0.175,1.907,0.8725,0.4565,0.475,11,20.48,14.61
"F",0.715,0.565,0.18,1.79,0.844,0.3535,0.5385,9,16.71,9.91
"F",0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48,11,20.37,15.25
"I",0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086,7,6.04,10.83
"I",0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,7,1.43,12.08
"M",0.48,0.365,0.13,0.5305,0.2405,0.127,0.139,8,6.99,12.05
"M",0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,9,9.39,10.42
"I",0.515,0.4,0.14,0.7165,0.3495,0.1595,0.1785,8,14.34,6.52
"F",0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,9,7.97,13.75
"I",0.56,0.42,0.14,0.837,0.414,0.214,0.2,8,10.01,9.19
"F",0.57,0.45,0.15,0.9645,0.531,0.189,0.209,9,10.28,13.48
"F",0.605,0.465,0.155,1.1,0.547,0.2665,0.2585,10,14.78,13.17
"M",0.625,0.48,0.16,1.2415,0.6575,0.2625,0.2785,9,19.2,11.87
"F",0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315,9,10.61,9.39
"M",0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,9,11.68,11.34
"I",0.3,0.215,0.05,0.1185,0.048,0.0225,0.042,4,11.66,4.74
"M",0.35,0.265,0.09,0.197,0.073,0.0365,0.077,7,6.39,8.67
"I",0.455,0.35,0.13,0.4725,0.215,0.0745,0.15,9,11.85,13.88
"I",0.46,0.365,0.11,0.4495,0.1755,0.102,0.15,8,9.78,12.46
"I",0.49,0.375,0.115,0.557,0.2275,0.1335,0.1765,8,12.68,8.04
"I",0.5,0.385,0.12,0.516,0.197,0.1305,0.165,8,13,11.67
"I",0.54,0.415,0.135,0.709,0.3195,0.174,0.185,9,13.6,11.48
"M",0.55,0.42,0.145,0.7385,0.321,0.1485,0.252,11,6.2,17.4
"I",0.55,0.445,0.11,0.7935,0.378,0.142,0.26,10,17.4,9.46
"M",0.555,0.435,0.145,0.9205,0.404,0.2275,0.255,8,9.83,8.36
"I",0.57,0.425,0.14,0.7655,0.331,0.14,0.24,10,14.83,14.84
"M",0.58,0.45,0.14,0.824,0.3465,0.1765,0.263,10,13.85,10.33
"I",0.58,0.425,0.145,0.83,0.379,0.1605,0.2575,11,11.08,14.05
"I",0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,10,7.77,15.55
"M",0.585,0.45,0.15,0.997,0.4055,0.283,0.251,11,15.41,11.8
"F",0.595,0.455,0.14,0.914,0.3895,0.2225,0.271,9,18.68,9.98
"F",0.6,0.5,0.17,1.13,0.4405,0.267,0.335,11,10.7,13.25
"F",0.615,0.495,0.155,1.0805,0.52,0.19,0.32,9,12.79,12.41
"M",0.63,0.505,0.155,1.105,0.492,0.226,0.325,11,18.94,14.56
"M",0.63,0.49,0.155,1.229,0.535,0.29,0.335,11,13.24,13.71
"F",0.635,0.495,0.175,1.2355,0.5205,0.3085,0.347,10,10.68,13.22
"F",0.645,0.535,0.19,1.2395,0.468,0.2385,0.424,10,14.82,14.32
"F",0.65,0.505,0.165,1.357,0.5725,0.281,0.43,11,17.49,13.85
"M",0.655,0.525,0.18,1.402,0.624,0.2935,0.365,13,21.74,16.64
"F",0.655,0.5,0.22,1.359,0.642,0.3255,0.405,13,17.23,9.14
"M",0.67,0.535,0.19,1.669,0.7465,0.2935,0.508,11,17.17,14.14
"M",0.67,0.525,0.2,1.7405,0.6205,0.297,0.657,11,14.97,15.06
"M",0.695,0.53,0.21,1.51,0.664,0.4095,0.385,10,14.27,12.66
"M",0.695,0.55,0.195,1.6645,0.727,0.36,0.445,11,19.7,16.71
"M",0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,11,11.46,13.9
"I",0.28,0.215,0.07,0.124,0.063,0.0215,0.03,6,5.9,9.05
"I",0.33,0.23,0.08,0.14,0.0565,0.0365,0.046,7,5.3,7.97
"I",0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,6,7.26,7.39
"I",0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,7,10.04,7.92
"I",0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,8,11.29,9.06
"I",0.435,0.33,0.095,0.393,0.219,0.075,0.0885,6,13.96,10.43
"I",0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,6,-2.52,8.4
"M",0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,8,18.07,10.21
"M",0.475,0.36,0.14,0.5135,0.241,0.1045,0.155,8,10.88,14.15
"I",0.48,0.355,0.11,0.4495,0.201,0.089,0.14,8,13.15,10.38
"F",0.56,0.44,0.135,0.8025,0.35,0.1615,0.259,9,14.4,12.58
"F",0.585,0.475,0.165,1.053,0.458,0.217,0.3,11,9.18,15.17
"F",0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845,11,11.8,14.12
"M",0.385,0.255,0.1,0.3175,0.137,0.068,0.092,8,10.59,12.02
"I",0.39,0.31,0.085,0.344,0.181,0.0695,0.079,7,14.63,14.11
"I",0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081,7,10.27,10.38
"I",0.405,0.3,0.085,0.3035,0.15,0.0505,0.088,7,8.33,7.6
"I",0.475,0.365,0.115,0.499,0.232,0.0885,0.156,10,13.66,13.55
"M",0.5,0.38,0.125,0.577,0.269,0.1265,0.1535,9,9.59,13.89
"F",0.515,0.4,0.125,0.615,0.2865,0.123,0.1765,8,8.86,13.29
"M",0.52,0.385,0.165,0.791,0.375,0.18,0.1815,10,7.57,14.84
"M",0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405,10,5.73,15.61
"M",0.56,0.43,0.155,0.8675,0.4,0.172,0.229,8,8.89,10.27
"F",0.565,0.45,0.165,0.887,0.37,0.239,0.249,11,14.08,17.49
"M",0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,10,11.97,16.58
"M",0.6,0.475,0.205,1.176,0.5255,0.2875,0.308,9,5.84,11.72
"F",0.625,0.485,0.15,1.0945,0.531,0.261,0.296,10,6.66,12.19
"M",0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12,12.63,15.54
